12,25,-5,-24,-5,-3,-9,-15
30,6,-73,-53,-3,4,0,-7
-33,17,56,8,-3,-1,0,11
-41,-18,-5,-2,11,0,-6,-31
30,10,66,69,-4,-17,-7,-18
25,8,-1,-22,-4,18,17,41
16,-6,63,-24,1,1,-3,-12
12,3,1,54,4,-7,-4,-13
7,12,26,29,7,11,15,45
14,-7,20,49,10,-1,-1,-30
-40,-36,-112,-12,-3,-4,1,18
11,2,20,-118,-31,-10,-10,-4
8,-5,14,-13,1,3,-3,-11
-21,-30,-34,20,4,4,0,-7
31,23,20,77,16,4,2,20
-58,-12,2,-18,-11,-7,-21,-35
2,1,-59,-71,0,10,22,88
43,16,0,-69,-24,-16,-3,13
-6,-12,-78,-67,-4,3,-3,-23
53,8,-32,72,12,-3,-4,7
-7,2,105,-18,0,1,-7,-26
-34,5,24,57,-4,-12,-4,-1
75,10,-2,-29,13,19,9,25
4,21,34,69,17,7,18,-7
6,-23,-19,-65,-34,0,-4,19
-37,4,43,94,8,-13,-11,-42
7,-6,0,-6,6,4,-2,63
-2,10,74,9,-4,0,2,-11
-7,-12,-33,30,9,-2,-4,-32
16,-10,-27,-90,3,2,-3,-12
-12,4,35,82,6,-8,-2,-10
-2,-3,6,-107,-7,3,-1,1
22,13,51,85,-18,-9,-5,-14
4,-14,-10,-13,4,-1,-2,1
21,16,-53,-72,-8,4,11,6
-40,8,74,121,24,-3,-5,-40
63,-14,-87,-90,-27,-1,9,1
-25,12,34,26,-1,4,4,25
-29,4,46,89,6,-5,-4,-22
12,-7,7,-55,-9,4,-6,-9
27,8,-15,123,18,-4,-9,-12
-33,-6,-15,-72,-2,-1,0,-27
-20,-16,29,-27,-18,8,0,46
-24,-19,-89,38,9,4,2,-9
-14,33,104,88,24,-2,3,18
15,-33,-18,4,-11,-1,-2,9
-75,-1,-77,-100,-22,-14,-12,-43
-7,-4,-3,78,16,1,4,-10
-8,5,10,-66,3,11,16,47
-5,-3,-39,-55,-8,-5,-8,-10
23,-14,36,90,22,-4,-2,-14
9,16,14,-75,-29,-6,-2,3
-60,-6,-43,31,-2,-8,-14,-69
56,1,-11,-88,-9,2,11,55
37,12,14,107,16,1,-4,0
-48,-16,-37,-47,-22,-2,2,14
-14,-12,17,-10,23,5,-9,-61
-46,8,-14,40,1,-2,0,45
-1,-13,20,-57,-15,-23,0,-12
33,-8,-63,-44,-7,19,5,37
18,-12,-36,10,1,3,5,8
28,3,67,54,-4,-12,-22,-38
7,24,9,-2,7,3,6,16
1,-36,-106,-69,-24,-14,-7,-3
-1,0,51,79,11,1,-5,20
-48,-7,-21,-28,13,8,1,-33
90,9,29,-54,-17,1,-1,-31
9,9,76,82,5,5,12,77
13,2,-16,-35,18,9,0,10
-45,3,34,66,-12,-6,-4,-23
-39,-5,-27,-75,0,7,6,27
-24,0,24,1,11,-2,-4,-26
0,-5,-53,39,-5,-7,-6,-19
62,6,-23,32,8,-5,10,40
-12,6,22,-1,-14,5,-12,-20
17,10,50,15,6,-1,8,-24
-22,-18,-10,-36,-6,3,-1,21
39,3,51,18,6,1,0,-26
26,8,-4,83,15,-1,-6,15
-36,-2,3,-49,-2,-7,4,-18
23,9,-23,-20,-18,-6,-6,-8
-3,23,58,48,25,9,6,-1
-27,-18,-26,-98,-38,-14,-11,-17
54,13,13,34,24,13,8,36
13,6,11,24,6,-1,-2,6
10,-3,-24,-26,-14,-3,-5,-31
31,15,66,17,-4,-5,10,11
-6,-7,43,44,22,8,2,58
